uuid,label,pose,accessories,gender
7ythahgt-7yhs-8wus-7tyh-17yhstgy73ia,real,profile,none,female
78uhgty6-3ygh-8ytf-g7ug-764gty8jut5y,real,frontal,hat,male
7ythahgt-7yhs-8wus-7tyh-17yhstgy73ia,real,profile,none,female
7ythahgt-7yhs-8wus-7tyh-17yhstgy73ia,real,profile,none,female
9yuawnhu-9ush-6ayh-5shy-9iueg7yh2ian,fake,frontal,facemask,non-binary
78uhgty6-3ygh-8ytf-g7ug-764gty8jut5y,real,frontal,hat,male
9yuawnhu-9ush-6ayh-5shy-9iueg7yh2ian,fake,frontal,facemask,non-binary
9yuawnhu-9ush-6ayh-5shy-9iueg7yh2ian,fake,frontal,facemask,non-binary
7ythahgt-7yhs-8wus-7tyh-17yhstgy73ia,real,profile,none,female
9yuawnhu-9ush-6ayh-5shy-9iueg7yh2ian,fake,frontal,facemask,non-binary
7ythahgt-7yhs-8wus-7tyh-17yhstgy73ia,real,frontal,hat,male
9yuawnhu-9ush-6ayh-5shy-9iueg7yh2ian,fake,frontal,facemask,non-binary
78uhgty6-3ygh-8ytf-g7ug-764gty8jut5y,real,frontal,facemask,male
7ythahgt-7yhs-8wus-7tyh-17yhstgy73ia,real,profile,none,female
7ythahgt-7yhs-8wus-7tyh-17yhstgy73ia,real,profile,none,female
7ythahgt-7yhs-8wus-7tyh-17yhstgy73ia,real,profile,none,female
9yuawnhu-9ush-6ayh-5shy-9iueg7yh2ian,fake,frontal,facemask,non-binary
9yuawnhu-9ush-6ayh-5shy-9iueg7yh2ian,fake,frontal,facemask,non-binary
78uhgty6-3ygh-8ytf-g7ug-764gty8jut5y,real,frontal,hat,male
7ythahgt-7yhs-8wus-7tyh-17yhstgy73ia,real,profile,none,female
9yuawnhu-9ush-6ayh-5shy-9iueg7yh2ian,fake,frontal,facemask,non-binary
78uhgty6-3ygh-8ytf-g7ug-764gty8jut5y,real,frontal,hat,male
9yuawnhu-9ush-6ayh-5shy-9iueg7yh2ian,fake,frontal,facemask,non-binary
